Max. Equipment Designation,Best glide ratio,Cruising altitude,Fuel with max payload,"Ground clearance, fuselage","Height, alternate configuration","Height, fuselage","Height, overall",Landing run,"Length, alternate configuration","Length, fuselage",Max certified altitude,Max fuel weight,Max launch weight,Propeller diameter,T-O run,T-O speed,Tailplane span,Weapons bay volume,"Weight empty, equipped","Width, fuselage","Width, overall",Wing aspect ratio,g limits,Absolute ceiling [m],Service ceiling [m],Operating altitude [m],Cruising speed [m/s],Loitering speed [m/s],Max level speed [m/s],Max operating speed [m/s],Never-exceed speed [m/s],Stalling speed [m/s],Rate of climb [m/s],Endurance [h],Gross wing area [m2],Max T-O weight [kg],Max payload [kg],"Operating weight, empty [kg]",Payload with max fuel [kg],Weight empty [kg],"Length, overall [m]",Wing span [m],Radius of operation [km],Range [km]
Coelum VTOL,,,,,,,,,,,,,,,,,,,,,,,,,,,12.86,,,25.21,,,,1.0,,5.5,,,,,1.16,2.5,,15.0
Coelum X-001,,,,,,,,,,,,,,,,,,,,,,,,,,,12.86,,,25.21,,,,1.0,,5.5,,,,,1.16,2.5,,15.0
Coelum X-002,,,,,,,,,,,,,,,,,,,,,,,,,,,12.86,,,25.21,,,,1.0,,5.5,,,,,1.16,2.5,,15.0
Condor,,,,,,,450 mm (1 ft 5 3/4 in) 450 mm (1 ft 5 3/4 in),,,,,,,,,,,,,,,,,,5180,,14.92,,,23.15,,9.26,,3.0,,11.3,2.26,4.5,,,1.76,3.65,,50.0
CyberBug Grande,,,,,,,,,,,,,,,,,,,,,,,,,3050,122,,,,,,,,0.67,,1.2,,,,,,0.76,,8.1
CyberBug R & D,,,,,,,,,,,,,,,,,,,,,,,,,3050,122,,,,,,,,0.67,,1.2,,,,,,0.76,,5.0
DT26E LiDAR,,,,,,,,,,,,,,,,,,,,,,,,,5000,,16.46,,,,,,,1.83,,17.0,,,,,1.6,3.3,29.6,110.0
DT26E Open Payload,,,,,,,,,,,,,,,,,,,,,,,,,2750,2000,16.46,,,,,,,2.83,,18.5,3.0,,,,1.6,3.3,20.4,29.6
DT26E Surveillance,,,,,,,,,,,,,,,,,,,,,,,,,5000,,15.95,,,,,,,2.83,,15.0,,,,,1.6,3.3,20.4,
DT26E Tactical,,,,,,,,,,,,,,,,,,,,,,,,,3000,2300,15.95,,,,,,,2.83,,15.0,,,,,1.6,3.3,20.4,50.0
DVF 2000 ER,,,,,,,,,,,,,,,,,,,,,,,,,3000,400,24.18,,,,,,,7.0,,23.0,2.0,,,,2.27,3.3,,50.0
DVF 2000 VT/ALIACA,,,,,,,,,,,,,,,,,,,,,,,,,3000,150,18.06,,,,,,,3.0,,12.0,1.1,,,,1.85,3.0,,50.0
Diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.58,,,,,0.5,,29.0,,,,19.0,3.35,2.47,,
Dragon,,,,,,,300 mm (11 3/4 in) 300 mm (11 3/4 in),,,,,,,,,,,,,,,,,,4000,,23.0,,,33.03,,16.98,,2.0,,14.0,1.5,7.0,,,1.69,3.05,,400.0
EOS,,,,,,,,,,,,,,,,,,,,,,,,,,1500,13.89,,27.78,,,,,2.0,,7.0,,,,,1.6,4.0,,75.0
EOS C VTOL,,,,,,,450 mm (1 ft 5 3/4 in) 450 mm (1 ft 5 3/4 in),,,,,,,,,,,,,,,,,,4500,1500,16.98,,29.84,,,,,3.0,,14.2,1.1,,,,1.8,5.0,191.0,50.0
Eagle Eye 4 Gasoline,,,,,,,800 mm (2 ft 7 1/2 in),,,,,,,,12 m (39.4 ft) (minimum) 80 m (262 ft) (maximum),,,,,,,,,,2000,,24.02,,34.98,,,19.03,,4.0,,30.0,10.0,,10.0,20.0,3.0,4.0,,480.0
Eagle Hero-VTOL Electric,25 (Min) 28 (Max),,,,,,300 mm (11 3/4 in) 300 mm (11 3/4 in),,,,,,,,,,,,,,,,,,4000,,24.02,,34.98,,,13.0,,2.0,,18.0,1.5,,,16.5,1.61,3.5,,180.0
Eagle Plus VTOL,,,,,,,300 mm (11 3/4 in) 300 mm (11 3/4 in),,,,,,,,,,,,,,,,,,4000,,25.98,,,32.98,,19.03,,4.0,,22.0,10.0,,,12.5,1.99,3.5,,400.0
Edomon,,,,,,,,,,,,,,,,,,,,,,,,,3050,,,,,33.34,,,,6.0,,18.0,2.3,,,11.7,1.895,3.0,,100.0
Explorer,,,,,,,800 mm (2 ft 7 1/2 in) 800 mm (2 ft 7 1/2 in),,,,,,,,,,,,,,,,,,,,29.17,,44.45,,,,,4.0,,24.0,8.0,,,9.0,2.75,4.51,,
